Surname,First Name,Matriculation number,Mail,Enrolled study course
Potter,Harry,479579,harry.potter@hogwarts.wiz,History of Magic
Weasley,Ron,413714,ron.weasley@hogwarts.wiz,History of Magic
Granger,Hermione,492257,hermione.granger@hogwarts.wiz,Art
Creevey,Colin,406015,colin.creevey@hogwarts.wiz,Charms
Finnigan,Seamus,437859,seamus.finnigan@hogwarts.wiz,Flying
Abbott,Hannah,493893,hannah.abbott@hogwarts.wiz,Muggle Music
Parkinson,Pansy,461331,pansy.parkinson@hogwarts.wiz,Dark Arts
Smith,Zacharias,464333,zacharias.smith@hogwarts.wiz,Charms
Zabini,Blaise,485575,blaise.zabini@hogwarts.wiz,Charms
Malfoy,Draco,451855,draco.malfoy@hogwarts.wiz,Herbology
Thomas,Dean,423607,dean.thomas@hogwarts.wiz,Apparition
Bulstrode,Millicent,457161,millicent.bulstrode@hogwarts.wiz,Art
Boot,Terry,498659,terry.boot@hogwarts.wiz,Ancient Studies
Macmillan,Ernie,434539,ernie.macmillan@hogwarts.wiz,Potions
Crabbe,Vincent,419612,vincent.crabbe@hogwarts.wiz,Alchemy
Goyle,Gregory,420680,gregory.goyle@hogwarts.wiz,Potions
Brown,Lavender,492639,lavender.brown@hogwarts.wiz,Charms
Bell,Katie,461728,katie.bell@hogwarts.wiz,Ghoul Studies
Patil,Parvati,495908,parvati.patil@hogwarts.wiz,Art
Creevey,Dennis,463467,dennis.creevey@hogwarts.wiz,Dark Arts
Midgen,Eloise,450089,eloise.midgen@hogwarts.wiz,Dark Arts
Coote,Ritchie,465718,ritchie.coote@hogwarts.wiz,Art
Sloper,Jack,443715,jack.sloper@hogwarts.wiz,Ancient Studies
Frobisher,Victoria,496255,victoria.frobisher@hogwarts.wiz,Divination
Hooper,Geoffrey,453056,geoffrey.hooper@hogwarts.wiz,Dark Arts
Kirke,Andrew,477805,andrew.kirke@hogwarts.wiz,Dark Arts
Robins,Demelza,425953,demelza.robins@hogwarts.wiz,Charms
McLaggen,Cormac,481977,cormac.mclaggen@hogwarts.wiz,Advanced Arithmancy Studies
Longbottom,Neville,494628,neville.longbottom@hogwarts.wiz,Ancient Studies
Weasley,Ginny,434597,ginny.weasley@hogwarts.wiz,Magical Theory
Vane,Romilda,445402,romilda.vane@hogwarts.wiz,Transfiguration
McDonald,Natalie,483493,natalie.mcdonald@hogwarts.wiz,Transfiguration
Peakes,Jimmy,483136,jimmy.peakes@hogwarts.wiz,Xylomancy
Abercrombie,Euan,435537,euan.abercrombie@hogwarts.wiz,Alchemy
MacDonald,Mary,464402,mary.macdonald@hogwarts.wiz,Ghoul Studies
Clearwater,Penelope,464194,penelope.clearwater@hogwarts.wiz,Muggle Music
Davies,Roger,493782,roger.davies@hogwarts.wiz,Apparition
Carmichael,Eddie,478155,eddie.carmichael@hogwarts.wiz,Muggle Studies
Chang,Cho,469994,cho.chang@hogwarts.wiz,Flying
Edgecombe,Marietta,461804,marietta.edgecombe@hogwarts.wiz,Ancient Studies
Brocklehurst,Mandy,499839,mandy.brocklehurst@hogwarts.wiz,Magical Theory
Corner,Michael,462539,michael.corner@hogwarts.wiz,Flying
Cornfoot,Stephen,416049,stephen.cornfoot@hogwarts.wiz,Advanced Arithmancy Studies
Entwhistle,Kevin,416805,kevin.entwhistle@hogwarts.wiz,Muggle Art
Goldstein,Anthony,421211,anthony.goldstein@hogwarts.wiz,Transfiguration
Li,Su,414258,su.li@hogwarts.wiz,Dark Arts
McDougal,Morag,486309,morag.mcdougal@hogwarts.wiz,Advanced Arithmancy Studies
Patil,Padma,476737,padma.patil@hogwarts.wiz,Apparition
Turpin,Lisa,432575,lisa.turpin@hogwarts.wiz,Ghoul Studies
Lovegood,Luna,420034,luna.lovegood@hogwarts.wiz,Muggle Music
Quirke,Orla,418697,orla.quirke@hogwarts.wiz,Arithmancy
Ackerley,Stewart,447385,stewart.ackerley@hogwarts.wiz,Advanced Arithmancy Studies
Bones,Susan,496970,susan.bones@hogwarts.wiz,Astronomy
Branstone,Eleanor,431036,eleanor.branstone@hogwarts.wiz,History of Magic
Cauldwell,Owen,422552,owen.cauldwell@hogwarts.wiz,Charms
Finch-Fletchley,Justin,450827,justin.finch-fletchley@hogwarts.wiz,Astronomy
Hopkins,Wayne,482275,wayne.hopkins@hogwarts.wiz,Muggle Art
Jones,Megan,436091,megan.jones@hogwarts.wiz,Advanced Arithmancy Studies
Madley,Laura,481830,laura.madley@hogwarts.wiz,Defence Against the Dark Arts
Whitby,Kevin,430394,kevin.whitby@hogwarts.wiz,Flying
Zeller,Rose,455237,rose.zeller@hogwarts.wiz,Magical Theory
Higgs,Terence,481967,terence.higgs@hogwarts.wiz,Muggle Art
Pucey,Adrian,484881,adrian.pucey@hogwarts.wiz,Arithmancy
Davis,Tracey,430141,tracey.davis@hogwarts.wiz,Flying
Moon,Lilian,449985,lilian.moon@hogwarts.wiz,Art
Greengrass,Daphne,481904,daphne.greengrass@hogwarts.wiz,Dark Arts
Nott,Theodore,446223,theodore.nott@hogwarts.wiz,Potions
Greengrass,Astoria,469932,astoria.greengrass@hogwarts.wiz,Dark Arts
Baddock,Malcolm,442966,malcolm.baddock@hogwarts.wiz,Art
Pritchard,Graham,412620,graham.pritchard@hogwarts.wiz,Divination
